latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.3378,-155.036,311.6,1,1,2001-01-01,0849,Terra,MODIS,83,6.2,296.9,9.8,N,2
19.3365,-155.0455,307.1,1,1,2001-01-01,0849,Terra,MODIS,70,6.2,295.8,6.4,N,2
19.3351,-155.0549,315.4,1,1,2001-01-01,0849,Terra,MODIS,91,6.2,292.2,13,N,2
19.3468,-155.0375,362.5,1,1,2001-01-01,0849,Terra,MODIS,100,6.2,303.1,92.9,N,2
19.3454,-155.0469,368.2,1,1,2001-01-01,0849,Terra,MODIS,100,6.2,309.3,110.3,N,2
19.344,-155.0563,403.3,1,1,2001-01-01,0849,Terra,MODIS,100,6.2,315.8,275.1,N,2
19.3427,-155.0657,314.5,1,1,2001-01-01,0849,Terra,MODIS,89,6.2,291.6,12.4,N,2
19.3544,-155.0482,322.2,1,1,2001-01-01,0849,Terra,MODIS,100,6.2,293.6,19.6,N,2
19.353,-155.0576,400.1,1,1,2001-01-01,0849,Terra,MODIS,100,6.2,311.8,255.8,N,2
19.3516,-155.067,313.6,1,1,2001-01-01,0849,Terra,MODIS,87,6.2,291.4,11.8,N,2
19.362,-155.059,371.1,1,1,2001-01-01,0849,Terra,MODIS,100,6.2,307.4,121.8,N,2
19.3606,-155.0684,333,1,1,2001-01-01,0849,Terra,MODIS,100,6.2,297.7,33.8,N,2
19.3695,-155.0698,313.9,1,1,2001-01-01,0849,Terra,MODIS,88,6.2,291.6,14,N,2
30.2611,-82.8501,301.8,2.5,1.5,2001-01-01,1600,Terra,MODIS,49,6.2,280.6,26.8,D,0
26.5145,-80.95,309.3,1.6,1.3,2001-01-01,1601,Terra,MODIS,68,6.2,288.4,17.2,D,0
26.4807,-80.6461,343.9,1.6,1.2,2001-01-01,1601,Terra,MODIS,93,6.2,291.2,95.7,D,0
26.479,-80.6305,327,1.6,1.2,2001-01-01,1601,Terra,MODIS,85,6.2,291.6,47.3,D,0
19.3552,-155.0552,366.2,1.3,1.1,2001-01-01,2100,Terra,MODIS,100,6.2,314.8,137.9,D,2
19.3452,-155.0576,387.8,1.3,1.1,2001-01-01,2100,Terra,MODIS,100,6.2,320.7,259.8,D,2
19.3437,-155.0457,367,1.3,1.1,2001-01-01,2100,Terra,MODIS,100,6.2,319,137.2,D,2
33.4115,-110.8618,304.1,2.6,1.5,2001-01-02,0618,Terra,MODIS,59,6.2,267.2,45.3,N,2
36.7729,-118.8688,303,1,1,2001-01-02,0619,Terra,MODIS,52,6.2,277.6,10.6,N,0
38.0184,-77.8802,321.6,1.5,1.2,2001-01-02,1641,Terra,MODIS,81,6.2,274.4,45.1,D,0
35.0862,-79.6537,311.6,1.4,1.2,2001-01-02,1641,Terra,MODIS,71,6.2,276.6,24.2,D,0
32.7753,-82.8308,341.8,1.1,1,2001-01-02,1642,Terra,MODIS,93,6.2,280.7,56.7,D,0
32.3945,-81.6453,331.1,1.2,1.1,2001-01-02,1642,Terra,MODIS,87,6.2,279,42.5,D,0
32.3937,-81.6513,306.9,1.2,1.1,2001-01-02,1642,Terra,MODIS,58,6.2,278,13,D,0
32.3915,-81.6386,320.2,1.2,1.1,2001-01-02,1642,Terra,MODIS,80,6.2,278.7,27.7,D,0
32.3747,-84.4099,302.1,1,1,2001-01-02,1642,Terra,MODIS,50,6.2,277.7,8.3,D,0
31.8176,-84.5724,313.4,1,1,2001-01-02,1643,Terra,MODIS,74,6.2,277.3,15.8,D,0
31.7884,-84.8102,302.6,1,1,2001-01-02,1643,Terra,MODIS,53,6.2,277.1,8.8,D,0
31.7868,-84.7998,303.6,1,1,2001-01-02,1643,Terra,MODIS,56,6.2,277.8,9.3,D,0
31.3888,-83.479,305.5,1.1,1,2001-01-02,1643,Terra,MODIS,62,6.2,279.8,10.2,D,0
31.3865,-84.3502,300.6,1,1,2001-01-02,1643,Terra,MODIS,39,6.2,280.1,6.4,D,0
31.8147,-88.6242,307.8,1.2,1.1,2001-01-02,1643,Terra,MODIS,66,6.2,275.2,17.7,D,0
31.2537,-84.5087,310.4,1,1,2001-01-02,1643,Terra,MODIS,70,6.2,278.5,13.6,D,0
30.9461,-84.9171,304.4,1,1,2001-01-02,1643,Terra,MODIS,59,6.2,280.9,8.6,D,0
30.6609,-84.2008,324.8,1,1,2001-01-02,1643,Terra,MODIS,83,6.2,278.7,27.3,D,0
30.6519,-84.2027,301.6,1,1,2001-01-02,1643,Terra,MODIS,26,6.2,277.3,6.8,D,0
30.7795,-85.4081,307.4,1,1,2001-01-02,1643,Terra,MODIS,65,6.2,279.4,11.2,D,0
30.4869,-85.7429,313.2,1,1,2001-01-02,1643,Terra,MODIS,64,6.2,277.1,15.8,D,0
30.4854,-85.7326,340.9,1,1,2001-01-02,1643,Terra,MODIS,70,6.2,278.6,48.9,D,0
30.4068,-85.891,301.2,1,1,2001-01-02,1643,Terra,MODIS,45,6.2,271.2,8.6,D,0
29.998,-90.3989,303.6,1.5,1.2,2001-01-02,1643,Terra,MODIS,0,6.2,277.3,17.1,D,2
29.9963,-90.3836,301.6,1.5,1.2,2001-01-02,1643,Terra,MODIS,36,6.2,275.2,15.1,D,2
29.9846,-91.7753,320.3,1.8,1.3,2001-01-02,1643,Terra,MODIS,80,6.2,270.8,54.7,D,0
26.8501,-80.5002,311.4,1.8,1.3,2001-01-02,1644,Terra,MODIS,71,6.2,289.5,22.2,D,0
26.8467,-80.4825,313.1,1.8,1.3,2001-01-02,1644,Terra,MODIS,73,6.2,291.1,25.4,D,0
26.8157,-80.6366,307.2,1.8,1.3,2001-01-02,1644,Terra,MODIS,60,6.2,288.3,15.2,D,0
26.8198,-80.6414,302.2,1.8,1.3,2001-01-02,1644,Terra,MODIS,48,6.2,287.8,8.9,D,0
26.8723,-81.118,342.6,1.6,1.3,2001-01-02,1644,Terra,MODIS,93,6.2,290.5,96.8,D,0
26.8694,-81.1018,330.6,1.6,1.3,2001-01-02,1644,Terra,MODIS,87,6.2,289.8,59.2,D,0
26.8612,-81.1205,311.3,1.6,1.3,2001-01-02,1644,Terra,MODIS,71,6.2,288.6,20.9,D,0
26.8582,-81.1044,307.4,1.6,1.3,2001-01-02,1644,Terra,MODIS,65,6.2,288.4,15.9,D,0
43.7961,-103.2496,320.8,1.1,1.1,2001-01-02,1818,Terra,MODIS,80,6.2,280.4,26.5,D,0
43.7937,-103.2358,316.6,1.1,1.1,2001-01-02,1818,Terra,MODIS,77,6.2,279.5,21.7,D,0
37.7012,-109.3073,312.8,1,1,2001-01-02,1820,Terra,MODIS,73,6.2,280,15,D,0
32.8952,-105.6414,308.3,1.3,1.1,2001-01-02,1821,Terra,MODIS,67,6.2,274.1,18,D,0
33.4129,-110.8626,317.3,1,1,2001-01-02,1821,Terra,MODIS,77,6.2,290.6,15.8,D,2
19.3469,-155.0668,360.8,2.4,1.5,2001-01-02,2142,Terra,MODIS,94,6.2,303.8,296.7,D,2
19.3421,-155.0417,366.8,2.4,1.5,2001-01-02,2142,Terra,MODIS,75,6.2,306.5,357.7,D,2
19.3475,-155.0484,373.7,2.4,1.5,2001-01-02,2142,Terra,MODIS,94,6.2,307.4,442.3,D,2
33.0057,-105.6621,310,1,1,2001-01-03,0522,Terra,MODIS,79,6.2,265.3,15.8,N,0
33.0145,-105.6639,319.7,1,1,2001-01-03,0522,Terra,MODIS,99,6.2,266.3,23.7,N,0
33.013,-105.6745,319.2,1,1,2001-01-03,0522,Terra,MODIS,98,6.2,265.8,23.2,N,0
33.0219,-105.6763,321.1,1,1,2001-01-03,0522,Terra,MODIS,100,6.2,266.3,24.9,N,0
33.0307,-105.6781,325.5,1,1,2001-01-03,0522,Terra,MODIS,100,6.2,266.6,30,N,0
33.0292,-105.6887,307.7,1,1,2001-01-03,0522,Terra,MODIS,72,6.2,265.6,14.1,N,0
33.0396,-105.68,329.4,1,1,2001-01-03,0522,Terra,MODIS,11,6.2,266.7,31.4,N,0
32.9986,-110.7785,302.9,1.6,1.2,2001-01-03,0522,Terra,MODIS,52,6.2,281,17.1,N,2
33.4126,-110.8593,310.4,1.6,1.2,2001-01-03,0523,Terra,MODIS,80,6.2,276.2,28.3,N,2
33.4096,-110.8756,308.9,1.6,1.2,2001-01-03,0523,Terra,MODIS,76,6.2,276.7,26.1,N,2
33.4136,-110.865,321,1.6,1.2,2001-01-03,0523,Terra,MODIS,100,6.2,276.6,44.4,N,2
19.3549,-155.0538,309.8,1.3,1.1,2001-01-03,0836,Terra,MODIS,41,6.2,286.4,16.8,N,2
19.3529,-155.0658,309.6,1.3,1.1,2001-01-03,0836,Terra,MODIS,43,6.2,285.6,16.6,N,2
38.0022,-77.9496,305,2.3,1.5,2001-01-03,1545,Terra,MODIS,60,6.2,274.7,35.8,D,0
36.539,-77.1164,307.7,2,1.4,2001-01-03,1546,Terra,MODIS,66,6.2,274.8,32.8,D,0
36.5908,-79.542,309,2.9,1.6,2001-01-03,1546,Terra,MODIS,68,6.2,273.6,62,D,0
36.589,-79.5486,301.5,2.9,1.6,2001-01-03,1546,Terra,MODIS,37,6.2,273.5,36.4,D,0
36.5868,-79.5171,307.3,2.8,1.6,2001-01-03,1546,Terra,MODIS,65,6.2,273.3,51.8,D,0
35.2706,-76.7868,305.4,1.8,1.3,2001-01-03,1546,Terra,MODIS,61,6.2,276.1,24.9,D,0
35.2764,-76.792,310.8,1.8,1.3,2001-01-03,1546,Terra,MODIS,70,6.2,275.7,32,D,0
26.8915,-80.5932,304.4,2.6,1.5,2001-01-03,1549,Terra,MODIS,45,6.2,290.2,19.8,D,0
26.8162,-80.2196,300.1,2.4,1.5,2001-01-03,1549,Terra,MODIS,26,6.2,287.3,14.3,D,0
26.8124,-80.6541,304.6,2.6,1.6,2001-01-03,1549,Terra,MODIS,45,6.2,286.8,23.3,D,0
26.8102,-80.6279,315.9,2.6,1.6,2001-01-03,1549,Terra,MODIS,76,6.2,288.4,55.8,D,0
26.819,-80.634,319.3,2.6,1.6,2001-01-03,1549,Terra,MODIS,69,6.2,288.5,67.8,D,0
26.7657,-80.5092,327.7,2.5,1.5,2001-01-03,1549,Terra,MODIS,85,6.2,289.7,98.1,D,0
26.7634,-80.4837,342.6,2.5,1.5,2001-01-03,1549,Terra,MODIS,93,6.2,290.2,181.3,D,0
26.7625,-80.9645,302.2,2.8,1.6,2001-01-03,1549,Terra,MODIS,48,6.2,287.2,20.3,D,0
26.7591,-80.9708,300.2,2.8,1.6,2001-01-03,1549,Terra,MODIS,32,6.2,287,15.6,D,0
26.637,-81.4517,328.3,3,1.6,2001-01-03,1549,Terra,MODIS,86,6.2,287.6,130.8,D,0
26.6346,-81.422,317.7,3,1.6,2001-01-03,1549,Terra,MODIS,78,6.2,288,76.1,D,0
26.6363,-81.4577,321.4,3,1.6,2001-01-03,1549,Terra,MODIS,81,6.2,287.2,93.2,D,0
26.6337,-81.428,325.7,3,1.6,2001-01-03,1549,Terra,MODIS,84,6.2,288,114.7,D,0
26.2199,-80.8465,311.2,2.7,1.6,2001-01-03,1549,Terra,MODIS,47,6.2,288.9,43.9,D,0
34.8322,-89.9911,302.9,1.5,1.2,2001-01-03,1725,Terra,MODIS,54,6.2,272.6,18.1,D,0
31.8094,-88.6224,311.8,2.1,1.4,2001-01-03,1725,Terra,MODIS,68,6.2,268.4,47.4,D,0
32.1772,-97.7234,300.5,1.1,1,2001-01-03,1726,Terra,MODIS,38,6.2,281.4,6.9,D,0
32.142,-97.7241,309.7,1.1,1,2001-01-03,1726,Terra,MODIS,69,6.2,282.4,13.2,D,0
32.099,-97.403,330.4,1,1,2001-01-03,1726,Terra,MODIS,87,6.2,281.5,34.6,D,0
32.1581,-100.2641,311,1.4,1.2,2001-01-03,1726,Terra,MODIS,71,6.2,281.2,21.1,D,0
30.6481,-99.9397,304.6,1.3,1.1,2001-01-03,1726,Terra,MODIS,59,6.2,283.5,11.7,D,0
29.7262,-98.3578,307.6,1.1,1,2001-01-03,1726,Terra,MODIS,66,6.2,279.4,12.9,D,0
29.7248,-98.3469,307.8,1.1,1,2001-01-03,1726,Terra,MODIS,66,6.2,278.9,13.1,D,0
39.5914,-122.1571,300.7,1.2,1.1,2001-01-03,1903,Terra,MODIS,41,6.2,286.5,6,D,0
37.4995,-112.6524,301.2,1.7,1.3,2001-01-03,1903,Terra,MODIS,45,6.2,278,18.6,D,0
36.7719,-118.8703,307.7,1,1,2001-01-03,1903,Terra,MODIS,66,6.2,287.7,10.1,D,0
36.7703,-118.8594,341,1,1,2001-01-03,1903,Terra,MODIS,92,6.2,289.5,47.7,D,0
34.095,-117.5331,309.9,1.1,1.1,2001-01-03,1904,Terra,MODIS,65,6.2,298.8,5,D,0
32.8318,-116.6762,338.6,1.3,1.1,2001-01-03,1904,Terra,MODIS,90,6.2,302,51.8,D,0
32.8294,-116.6631,353.3,1.3,1.1,2001-01-03,1904,Terra,MODIS,97,6.2,300.1,93.1,D,0
32.8289,-116.7179,354.3,1.3,1.1,2001-01-03,1904,Terra,MODIS,97,6.2,297.1,95.9,D,0
32.8266,-116.7048,351.7,1.3,1.1,2001-01-03,1904,Terra,MODIS,96,6.2,301.1,87.5,D,0
32.8219,-116.6785,416,1.3,1.1,2001-01-03,1904,Terra,MODIS,100,6.2,316.6,510.7,D,0
32.8196,-116.666,455.2,1.3,1.1,2001-01-03,1904,Terra,MODIS,100,6.2,325.1,1109.6,D,0
32.8214,-116.7332,312.4,1.3,1.1,2001-01-03,1904,Terra,MODIS,69,6.2,292.9,13.8,D,0
32.819,-116.7201,339,1.3,1.1,2001-01-03,1904,Terra,MODIS,91,6.2,299.8,54.2,D,0
32.8167,-116.7071,329.9,1.3,1.1,2001-01-03,1904,Terra,MODIS,24,6.2,299.6,32.4,D,0
32.8122,-116.6818,354.9,1.3,1.1,2001-01-03,1904,Terra,MODIS,98,6.2,302.3,94.7,D,0
32.8098,-116.6686,339.9,1.3,1.1,2001-01-03,1904,Terra,MODIS,91,6.2,295.7,52.4,D,0
32.8196,-116.7257,334.8,1.3,1.1,2001-01-03,1904,Terra,MODIS,79,6.2,297.6,44,D,0
32.8173,-116.7125,331.9,1.3,1.1,2001-01-03,1904,Terra,MODIS,51,6.2,300.2,36.5,D,0
32.8151,-116.6999,328.4,1.3,1.1,2001-01-03,1904,Terra,MODIS,38,6.2,298.4,28.4,D,0
32.8129,-116.6872,343.9,1.3,1.1,2001-01-03,1904,Terra,MODIS,93,6.2,301.7,61.8,D,0
32.8106,-116.6742,353.4,1.3,1.1,2001-01-03,1904,Terra,MODIS,97,6.2,300.6,88.4,D,0
32.8097,-116.7278,336.3,1.3,1.1,2001-01-03,1904,Terra,MODIS,77,6.2,294.7,45.4,D,0
32.8075,-116.715,343.4,1.3,1.1,2001-01-03,1904,Terra,MODIS,86,6.2,303,59.2,D,0
32.8053,-116.7025,428.2,1.3,1.1,2001-01-03,1904,Terra,MODIS,100,6.2,328.1,657.8,D,0
32.8029,-116.6892,500,1.3,1.1,2001-01-03,1904,Terra,MODIS,100,6.2,348.1,2284.5,D,0
32.8006,-116.6759,336.5,1.3,1.1,2001-01-03,1904,Terra,MODIS,88,6.2,299.5,44.7,D,0
32.8021,-116.7431,342.3,1.3,1.1,2001-01-03,1904,Terra,MODIS,92,6.2,293.5,61.7,D,0
32.7998,-116.7301,368.1,1.3,1.1,2001-01-03,1904,Terra,MODIS,100,6.2,298.4,149.3,D,0
32.7975,-116.7169,390.3,1.3,1.1,2001-01-03,1904,Terra,MODIS,100,6.2,304.5,276.5,D,0
32.7952,-116.7038,458.3,1.3,1.1,2001-01-03,1904,Terra,MODIS,100,6.2,315.9,1165.7,D,0
32.793,-116.6911,461.1,1.3,1.1,2001-01-03,1904,Terra,MODIS,100,6.2,310.2,1228.2,D,0
32.7884,-116.6652,313,1.3,1.1,2001-01-03,1904,Terra,MODIS,44,6.2,294.4,10.9,D,0
32.7899,-116.732,315.5,1.3,1.1,2001-01-03,1904,Terra,MODIS,73,6.2,292.2,15,D,0
32.7876,-116.719,314.6,1.3,1.1,2001-01-03,1904,Terra,MODIS,72,6.2,294,13.4,D,0
29.7269,-91.4497,300.6,1,1,2001-01-04,0426,Terra,MODIS,30,6.2,269.9,9.8,N,0
29.8909,-93.9751,307.8,1.2,1.1,2001-01-04,0426,Terra,MODIS,73,6.2,272.4,18.2,N,0
32.7587,-116.7979,309,1,1,2001-01-04,0605,Terra,MODIS,76,6.2,286.4,10.7,N,0
32.7676,-116.8,343.4,1,1,2001-01-04,0605,Terra,MODIS,100,6.2,295,51.1,N,0
32.766,-116.8106,403.8,1,1,2001-01-04,0605,Terra,MODIS,100,6.2,306.5,280.5,N,0
32.7645,-116.8212,314.5,1,1,2001-01-04,0605,Terra,MODIS,89,6.2,289.1,14.4,N,0
32.7932,-116.6915,309,1,1,2001-01-04,0605,Terra,MODIS,76,6.2,285.7,11.9,N,0
32.7776,-116.7976,336.4,1,1,2001-01-04,0605,Terra,MODIS,100,6.2,289.3,40.8,N,0
32.776,-116.8082,379,1,1,2001-01-04,0605,Terra,MODIS,100,6.2,298.4,153.8,N,0
32.7744,-116.8188,321.3,1,1,2001-01-04,0605,Terra,MODIS,100,6.2,287.8,22.1,N,0
32.8037,-116.6827,311.3,1,1,2001-01-04,0605,Terra,MODIS,82,6.2,284.7,13.1,N,0
32.8021,-116.6933,311.9,1,1,2001-01-04,0605,Terra,MODIS,84,6.2,284.4,13.3,N,0
32.7943,-116.7465,338.9,1,1,2001-01-04,0605,Terra,MODIS,100,6.2,284.5,44.8,N,0
32.7927,-116.757,364.4,1,1,2001-01-04,0605,Terra,MODIS,100,6.2,287.4,102.1,N,0
19.3604,-155.0569,315.1,2.4,1.5,2001-01-04,0919,Terra,MODIS,87,6.2,289.4,51.9,N,2
19.3687,-155.0659,311.5,2.4,1.5,2001-01-04,0919,Terra,MODIS,75,6.2,289.3,43.8,N,2
36.8028,-79.3481,349.6,1,1,2001-01-04,1629,Terra,MODIS,72,6.2,273.1,67.3,D,0
36.374,-78.6372,309.2,1.1,1,2001-01-04,1629,Terra,MODIS,68,6.2,277.8,13.8,D,0
36.1502,-78.1986,311,1.1,1.1,2001-01-04,1629,Terra,MODIS,71,6.2,277.6,16.5,D,0
35.4625,-78.1778,308.3,1.2,1.1,2001-01-04,1629,Terra,MODIS,67,6.2,279.3,13.8,D,0
35.0963,-79.3306,320.1,1.1,1,2001-01-04,1629,Terra,MODIS,80,6.2,279.9,23.3,D,0
35.0206,-79.6129,315.6,1,1,2001-01-04,1629,Terra,MODIS,76,6.2,279.4,17.3,D,0
35.0115,-79.615,317.3,1,1,2001-01-04,1629,Terra,MODIS,77,6.2,279,19,D,0
35.0097,-79.6038,301.3,1,1,2001-01-04,1629,Terra,MODIS,31,6.2,278.1,7,D,0
34.9983,-80.9677,301.8,1,1,2001-01-04,1629,Terra,MODIS,49,6.2,279.8,7.5,D,0
34.6007,-78.4867,337.3,1.1,1.1,2001-01-04,1629,Terra,MODIS,85,6.2,280.6,52,D,0
34.5975,-78.4941,309.3,1.1,1.1,2001-01-04,1629,Terra,MODIS,68,6.2,279.5,15.8,D,0
34.5955,-78.4818,332.4,1.1,1.1,2001-01-04,1629,Terra,MODIS,83,6.2,280,44.2,D,0
34.3407,-77.9464,307.6,1.2,1.1,2001-01-04,1629,Terra,MODIS,62,6.2,278.3,15.7,D,0
34.9516,-81.9894,321,1,1,2001-01-04,1629,Terra,MODIS,81,6.2,280.9,21.4,D,0
34.9501,-81.9784,322.1,1,1,2001-01-04,1629,Terra,MODIS,81,6.2,280.7,22.7,D,0
35.2199,-84.9437,303.7,1.3,1.1,2001-01-04,1629,Terra,MODIS,57,6.2,277,13.3,D,0
34.5204,-79.9617,311.3,1,1,2001-01-04,1629,Terra,MODIS,42,6.2,279.6,12.6,D,0
34.5132,-79.9748,315.6,1,1,2001-01-04,1629,Terra,MODIS,50,6.2,279.7,16.1,D,0
34.5114,-79.9637,378.6,1,1,2001-01-04,1629,Terra,MODIS,100,6.2,286.7,157.7,D,0
34.5097,-79.9527,316.5,1,1,2001-01-04,1629,Terra,MODIS,58,6.2,278,17.1,D,0
34.2388,-78.8578,307.2,1.1,1.1,2001-01-04,1629,Terra,MODIS,65,6.2,278.6,12.1,D,0
34.2294,-78.8601,307.9,1.1,1.1,2001-01-04,1629,Terra,MODIS,66,6.2,278.1,12.8,D,0
34.3972,-82.3736,300.1,1,1,2001-01-04,1629,Terra,MODIS,29,6.2,280.7,6.5,D,0
33.4576,-82.703,305.2,1,1,2001-01-04,1630,Terra,MODIS,61,6.2,279.8,10.2,D,0
33.14,-81.7026,305.4,1,1,2001-01-04,1630,Terra,MODIS,61,6.2,276.3,10.2,D,0
33.1385,-81.6921,302.2,1,1,2001-01-04,1630,Terra,MODIS,51,6.2,276.4,8.4,D,0
33.1533,-82.965,312.4,1,1,2001-01-04,1630,Terra,MODIS,72,6.2,279.7,15.5,D,0
32.559,-81.4572,308.9,1,1,2001-01-04,1630,Terra,MODIS,68,6.2,279.5,12,D,0
32.5574,-81.4466,301.2,1,1,2001-01-04,1630,Terra,MODIS,45,6.2,278.4,7.4,D,0
32.3712,-82.3782,321.4,1,1,2001-01-04,1630,Terra,MODIS,81,6.2,280.6,22.7,D,0
32.1107,-82.6851,302.3,1,1,2001-01-04,1630,Terra,MODIS,52,6.2,278.7,8.4,D,0
31.9586,-82.0746,310.9,1,1,2001-01-04,1630,Terra,MODIS,71,6.2,280,13.2,D,0
32.0274,-83.3495,307.3,1,1,2001-01-04,1630,Terra,MODIS,65,6.2,280.3,11.2,D,0
31.8477,-83.4504,300.3,1,1,2001-01-04,1630,Terra,MODIS,33,6.2,280.5,6.4,D,0
31.6886,-83.3588,303.4,1,1,2001-01-04,1630,Terra,MODIS,56,6.2,280,8.4,D,0
31.9492,-86.3718,300.7,1.4,1.2,2001-01-04,1630,Terra,MODIS,41,6.2,278.3,12,D,0
31.4616,-83.2482,307.2,1,1,2001-01-04,1630,Terra,MODIS,65,6.2,279.3,11.1,D,0
31.4602,-83.2375,304.3,1,1,2001-01-04,1630,Terra,MODIS,59,6.2,279.9,9.3,D,0
31.5206,-84.0941,301.7,1.1,1,2001-01-04,1630,Terra,MODIS,48,6.2,283.2,7.2,D,0
31.5192,-84.0828,311.1,1.1,1,2001-01-04,1630,Terra,MODIS,71,6.2,282.8,13.7,D,0
31.4613,-84.0013,318.9,1.1,1,2001-01-04,1630,Terra,MODIS,79,6.2,280,21.5,D,0
31.1419,-81.9817,302.9,1,1,2001-01-04,1630,Terra,MODIS,54,6.2,280.2,8.1,D,0
31.1891,-83.2736,318.7,1,1,2001-01-04,1630,Terra,MODIS,79,6.2,280.2,19.9,D,0
31.3532,-84.5915,300.1,1.1,1.1,2001-01-04,1630,Terra,MODIS,27,6.2,280.5,6.7,D,0
31.2371,-84.517,305.5,1.1,1.1,2001-01-04,1630,Terra,MODIS,62,6.2,281.3,10.3,D,0
31.5662,-87.3818,314,1.6,1.2,2001-01-04,1630,Terra,MODIS,74,6.2,278.5,32.2,D,0
30.9209,-83.6641,312.6,1,1,2001-01-04,1630,Terra,MODIS,73,6.2,281.6,14.5,D,0
30.6804,-83.1241,308.4,1,1,2001-01-04,1630,Terra,MODIS,67,6.2,283.1,11.4,D,0
30.679,-83.1136,337,1,1,2001-01-04,1630,Terra,MODIS,90,6.2,284.5,42.2,D,0
30.918,-85.7049,318.8,1.2,1.1,2001-01-04,1631,Terra,MODIS,79,6.2,279.4,27.2,D,0
30.5023,-83.2978,308.7,1,1,2001-01-04,1631,Terra,MODIS,52,6.2,285.3,9,D,0
30.4904,-83.2785,320.4,1,1,2001-01-04,1631,Terra,MODIS,80,6.2,284.1,19.3,D,0
30.1523,-81.4829,310,1,1,2001-01-04,1631,Terra,MODIS,69,6.2,279.8,12.9,D,0
30.1124,-81.4048,303.7,1,1,2001-01-04,1631,Terra,MODIS,57,6.2,282.4,9.2,D,0
30.3363,-83.0993,309.2,1,1,2001-01-04,1631,Terra,MODIS,68,6.2,284.4,10.6,D,0
30.0735,-83.5243,309.8,1,1,2001-01-04,1631,Terra,MODIS,65,6.2,283.7,12.2,D,0
29.9085,-82.6867,302.4,1,1,2001-01-04,1631,Terra,MODIS,52,6.2,285,6.5,D,0
28.9734,-81.2752,300.5,1,1,2001-01-04,1631,Terra,MODIS,38,6.2,282.7,6.2,D,0
28.4433,-81.8433,335.3,1,1,2001-01-04,1631,Terra,MODIS,89,6.2,286.1,38.6,D,0
27.9528,-81.6607,303.6,1,1,2001-01-04,1631,Terra,MODIS,53,6.2,286.4,6.7,D,0
27.5049,-81.0494,307.4,1.1,1,2001-01-04,1631,Terra,MODIS,65,6.2,287.9,9.6,D,0
27.5031,-81.0384,324.9,1.1,1,2001-01-04,1631,Terra,MODIS,83,6.2,287.9,27.1,D,0
27.6348,-81.9922,337.3,1,1,2001-01-04,1631,Terra,MODIS,0,6.2,286.4,42,D,0
27.3994,-82.5048,312.9,1,1,2001-01-04,1631,Terra,MODIS,73,6.2,288.3,12.4,D,0
26.893,-80.5555,313.1,1.2,1.1,2001-01-04,1631,Terra,MODIS,73,6.2,289.1,15.1,D,0
26.8835,-80.5574,307.8,1.2,1.1,2001-01-04,1631,Terra,MODIS,55,6.2,289.6,10,D,0
26.814,-80.6371,302.4,1.2,1.1,2001-01-04,1631,Terra,MODIS,52,6.2,288.1,6.5,D,0
26.8687,-81.1188,311.3,1.1,1,2001-01-04,1631,Terra,MODIS,71,6.2,289.6,12,D,0
26.8561,-81.2786,304,1.1,1,2001-01-04,1631,Terra,MODIS,58,6.2,289.9,6.7,D,0
26.8544,-81.2678,309,1.1,1,2001-01-04,1631,Terra,MODIS,68,6.2,289.6,10.1,D,0
26.7963,-81.0879,317.8,1.1,1.1,2001-01-04,1631,Terra,MODIS,78,6.2,289.1,18.3,D,0
26.7945,-81.0769,346.7,1.1,1.1,2001-01-04,1631,Terra,MODIS,95,6.2,291.6,64.9,D,0
26.7869,-81.0898,307.8,1.1,1.1,2001-01-04,1631,Terra,MODIS,63,6.2,289.4,8.8,D,0
26.7851,-81.0788,332.3,1.1,1.1,2001-01-04,1631,Terra,MODIS,88,6.2,289.4,36.6,D,0
26.6127,-80.8613,300.5,1.1,1.1,2001-01-04,1631,Terra,MODIS,35,6.2,290,4.4,D,0
26.6109,-80.85,309.7,1.1,1.1,2001-01-04,1631,Terra,MODIS,69,6.2,289.6,11.4,D,0
26.575,-80.8105,306.2,1.1,1.1,2001-01-04,1631,Terra,MODIS,63,6.2,288.5,8.6,D,0
26.5731,-80.7991,345.7,1.2,1.1,2001-01-04,1631,Terra,MODIS,94,6.2,290.1,66.3,D,0
26.5713,-80.7878,300.6,1.2,1.1,2001-01-04,1631,Terra,MODIS,25,6.2,290.5,4.5,D,0
26.5582,-80.8549,303.1,1.1,1.1,2001-01-04,1631,Terra,MODIS,53,6.2,288.2,6.1,D,0
26.2816,-81.1594,311.5,1.1,1.1,2001-01-04,1632,Terra,MODIS,71,6.2,287.8,13.6,D,0
43.0511,-123.8956,303.9,1.3,1.1,2001-01-04,1945,Terra,MODIS,57,6.2,283.6,10.1,D,0
22.1093,-159.3139,314.9,1,1,2001-01-04,2130,Terra,MODIS,46,6.2,298.6,7,D,0
19.3627,-155.064,360.8,1.5,1.2,2001-01-04,2130,Terra,MODIS,94,6.2,301.4,140.5,D,2
19.3494,-155.0502,362.5,1.5,1.2,2001-01-04,2130,Terra,MODIS,100,6.2,305.3,141.9,D,2
19.3387,-155.0516,381.2,1.5,1.2,2001-01-04,2130,Terra,MODIS,94,6.2,311.3,251.7,D,2
28.4463,-81.8454,305.3,1.7,1.3,2001-01-05,0330,Terra,MODIS,64,6.2,271.9,26,N,0
